leaf,kernel,mode,radius,L,neighbours,count,total,key,threshold,maxPointsLeaf
89391,cube,cartesian,3,0.976621,32,42,113,0,16,128
89396,cube,cartesian,3,0.976621,38,38,80,0,16,128
89383,cube,cartesian,3,0.488311,10,10,22,1,16,128
89387,cube,cartesian,3,0.488311,6,6,20,1,16,128
89390,cube,cartesian,3,0.488311,15,15,23,1,16,128
89324,cube,cartesian,3,0.976621,11,36,95,0,16,128
89325,cube,cartesian,3,0.976621,32,32,68,0,16,128
89312,cube,cartesian,3,0.488311,23,23,37,1,16,128
89313,cube,cartesian,3,0.488311,22,22,34,1,16,128
89299,cube,cartesian,3,0.976621,3,7,52,0,16,128
89300,cube,cartesian,3,0.976621,15,15,84,0,16,128
288734,cube,cartesian,3,3.90648,0,0,38,0,16,128
288739,cube,cartesian,3,3.90648,0,0,55,0,16,128
287541,cube,cartesian,3,0.488311,16,16,22,1,16,128
287544,cube,cartesian,3,0.488311,29,29,44,1,16,128
287533,cube,cartesian,3,0.488311,23,23,35,1,16,128
287536,cube,cartesian,3,0.488311,20,20,39,1,16,128
287495,cube,cartesian,3,0.488311,20,36,36,0,16,128
287496,cube,cartesian,3,0.488311,11,16,35,0,16,128
287468,cube,cartesian,3,0.488311,13,13,33,0,16,128
287469,cube,cartesian,3,0.488311,17,17,32,0,16,128
287460,cube,cartesian,3,0.488311,20,20,36,0,16,128
287461,cube,cartesian,3,0.488311,17,17,30,0,16,128
287407,cube,cartesian,3,0.488311,19,19,41,1,16,128
287408,cube,cartesian,3,0.488311,18,18,29,1,16,128
287382,cube,cartesian,3,0.488311,20,20,43,1,16,128
287385,cube,cartesian,3,0.488311,18,18,33,1,16,128
287374,cube,cartesian,3,0.976621,72,91,119,0,16,128
287377,cube,cartesian,3,0.976621,15,20,35,0,16,128
287193,cube,cartesian,3,3.90648,0,0,34,0,16,128
287013,cube,cartesian,3,1.95324,0,0,51,0,16,128
287036,cube,cartesian,3,0.976621,14,47,78,0,16,128
287035,cube,cartesian,3,0.976621,48,48,105,0,16,128
287016,cube,cartesian,3,0.488311,24,24,32,0,16,128
287017,cube,cartesian,3,0.488311,25,25,32,0,16,128
287007,cube,cartesian,3,0.488311,14,30,34,0,16,128
287008,cube,cartesian,3,0.488311,21,21,36,0,16,128
286926,cube,cartesian,3,3.90648,0,0,81,0,16,128
142779,cube,cartesian,3,3.90648,0,1,46,0,16,128
142456,cube,cartesian,3,1.95324,0,5,25,0,16,128
142455,cube,cartesian,3,0.976621,61,76,127,0,16,128
142386,cube,cartesian,3,0.488311,11,11,37,0,16,128
142387,cube,cartesian,3,0.488311,4,4,31,0,16,128
142368,cube,cartesian,3,0.488311,6,6,33,0,16,128
142369,cube,cartesian,3,0.488311,5,5,37,0,16,128
142348,cube,cartesian,3,0.488311,18,28,28,0,16,128
142351,cube,cartesian,3,0.488311,1,5,31,0,16,128
142171,cube,cartesian,3,3.90648,0,123,123,0,16,128
142298,cube,cartesian,3,0.976621,21,54,82,0,16,128
142303,cube,cartesian,3,0.976621,1,17,56,0,16,128
142279,cube,cartesian,3,0.488311,9,9,19,1,16,128
142283,cube,cartesian,3,0.488311,15,15,29,1,16,128
142271,cube,cartesian,3,0.488311,17,17,28,1,16,128
142272,cube,cartesian,3,0.488311,22,22,35,1,16,128
142230,cube,cartesian,3,0.976621,62,62,120,0,16,128
142231,cube,cartesian,3,0.976621,64,64,117,0,16,128
142194,cube,cartesian,3,0.976621,41,56,101,0,16,128
142193,cube,cartesian,3,0.976621,95,126,126,0,16,128
142174,cube,cartesian,3,0.488311,17,17,28,1,16,128
142175,cube,cartesian,3,0.488311,16,16,35,1,16,128
142034,cube,cartesian,3,3.90648,0,0,20,0,16,128
142036,cube,cartesian,3,3.90648,0,0,55,0,16,128
142037,cube,cartesian,3,3.90648,0,0,29,0,16,128
285335,cube,cartesian,3,7.81297,10,10,33,0,16,128
285320,cube,cartesian,3,3.90648,7,7,25,0,16,128
285333,cube,cartesian,3,3.90648,17,17,115,0,16,128
285321,cube,cartesian,3,1.95324,23,24,90,0,16,128
285322,cube,cartesian,3,1.95324,69,69,69,0,16,128
284716,cube,cartesian,3,1.95324,35,38,51,0,16,128
284742,cube,cartesian,3,0.976621,83,88,89,0,16,128
284743,cube,cartesian,3,0.976621,115,115,117,0,16,128
284729,cube,cartesian,3,0.488311,33,33,38,1,16,128
284732,cube,cartesian,3,0.488311,25,29,29,0,16,128
284721,cube,cartesian,3,0.488311,27,27,31,1,16,128
284724,cube,cartesian,3,0.488311,31,31,36,1,16,128
284453,cube,cartesian,3,0.976621,13,13,122,0,16,128
284454,cube,cartesian,3,0.976621,14,15,125,0,16,128
284392,cube,cartesian,3,0.976621,11,11,123,0,16,128
284393,cube,cartesian,3,0.976621,3,15,99,0,16,128
284396,cube,cartesian,3,0.976621,0,3,33,0,16,128
284377,cube,cartesian,3,0.976621,17,124,124,0,16,128
