leaf,kernel,mode,radius,L,neighbours,count,total,key,threshold,maxPointsLeaf
208519,cube,cartesian,5,0.976562,17,17,54,1,16,128
208520,cube,cartesian,5,0.976562,1,43,43,0,16,128
208521,cube,cartesian,5,0.976562,15,31,42,0,16,128
208510,cube,cartesian,5,0.976562,0,0,33,1,16,128
208495,cube,cartesian,5,0.976562,5,5,41,1,16,128
208496,cube,cartesian,5,0.976562,12,12,45,1,16,128
208474,cube,cartesian,5,1.95312,19,19,22,0,16,128
208475,cube,cartesian,5,0.976562,65,65,66,0,16,128
208477,cube,cartesian,5,0.976562,23,23,25,0,16,128
208478,cube,cartesian,5,0.976562,24,24,26,0,16,128
208421,cube,cartesian,5,1.95312,1,65,70,0,16,128
208425,cube,cartesian,5,1.95312,44,44,72,0,16,128
208414,cube,cartesian,5,0.976562,2,2,49,0,16,128
208418,cube,cartesian,5,0.976562,73,75,75,0,16,128
208419,cube,cartesian,5,0.976562,10,12,27,0,16,128
208280,cube,cartesian,5,1.95312,3,90,90,0,16,128
208289,cube,cartesian,5,1.95312,112,112,116,0,16,128
208293,cube,cartesian,5,1.95312,7,7,97,1,16,128
208285,cube,cartesian,5,0.976562,19,19,19,0,16,128
208286,cube,cartesian,5,0.976562,47,47,51,1,16,128
208288,cube,cartesian,5,0.976562,57,62,62,0,16,128
208219,cube,cartesian,5,1.95312,18,18,18,1,16,128
208237,cube,cartesian,5,1.95312,38,38,38,0,16,128
208246,cube,cartesian,5,1.95312,30,30,30,0,16,128
208238,cube,cartesian,5,0.976562,24,24,24,0,16,128
208241,cube,cartesian,5,0.976562,32,32,34,0,16,128
208242,cube,cartesian,5,0.976562,17,17,17,0,16,128
208225,cube,cartesian,5,0.976562,49,49,55,1,16,128
208226,cube,cartesian,5,0.976562,18,18,18,1,16,128
208227,cube,cartesian,5,0.976562,49,49,50,1,16,128
208215,cube,cartesian,5,3.90625,0,0,36,0,16,128
208204,cube,cartesian,5,1.95312,0,0,46,0,16,128
208199,cube,cartesian,5,0.976562,5,5,47,0,16,128
208203,cube,cartesian,5,0.976562,5,5,27,0,16,128
