kernel,radius,mode,get_range_time,loop_time,projectionTime,binarySearchTime,threshold,maxPointsLeaf
sphere,2.000000,polar,0.0,0.0,1.1553e-05,4.9821e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.09e-06,1.6775e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.345e-06,1.6211e-05,32,256
sphere,2.000000,polar,0.0,0.0,5.924e-06,5.171e-06,32,256
sphere,2.000000,polar,0.0,0.0,3.087e-06,1.0486e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.133e-05,3.4952e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2084e-05,3.7847e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.179e-06,2.4245e-05,32,256
sphere,2.000000,polar,0.0,0.0,6.725e-06,1.0801e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.522e-06,2.496e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.5675e-05,3.7422e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.5515e-05,3.7289e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.902e-06,2.1081e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2459e-05,3.6519e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.3231e-05,3.2373e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.291e-05,3.6401e-05,32,256
sphere,2.000000,polar,0.0,0.0,6.764e-06,5.842e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.1173e-05,3.1631e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.457e-05,4.0071e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0337e-05,2.9743e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.9252e-05,4.6672e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.5228e-05,3.7466e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.361e-06,2.4797e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1002e-05,2.949e-05,32,256
sphere,2.000000,polar,0.0,0.0,3.223e-06,8.558e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.0219e-05,2.8572e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1402e-05,3.1456e-05,32,256
sphere,2.000000,polar,0.0,0.0,3.426e-06,5.661e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.1644e-05,2.9946e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.015e-06,2.395e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.3706e-05,4.2656e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2218e-05,3.6448e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0754e-05,3.2662e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2255e-05,3.83e-05,32,256
sphere,2.000000,polar,0.0,0.0,4.763e-06,1.273e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.678e-05,4.1981e-05,32,256
sphere,2.000000,polar,0.0,0.0,2.1722e-05,4.9402e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1661e-05,3.5819e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.4036e-05,3.4375e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1398e-05,3.7268e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.497e-06,2.837e-05,32,256
sphere,2.000000,polar,0.0,0.0,6.959e-06,1.7525e-05,32,256
sphere,2.000000,polar,0.0,0.0,6.218e-06,1.6281e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.804e-06,3.0184e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.21e-06,1.7868e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2296e-05,3.2785e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.7429e-05,4.2066e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.5881e-05,5.6236e-05,32,256
sphere,2.000000,polar,0.0,0.0,3.532e-06,5.383e-06,32,256
sphere,2.000000,polar,0.0,0.0,6.36e-06,1.16e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0992e-05,3.1414e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.3066e-05,3.5777e-05,32,256
sphere,2.000000,polar,0.0,0.0,4.71e-06,8.726e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.2187e-05,3.4705e-05,32,256
sphere,2.000000,polar,0.0,0.0,6.461e-06,8.303e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.1122e-05,3.5149e-05,32,256
sphere,2.000000,polar,0.0,0.0,6.414e-06,1.7571e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.3175e-05,3.5532e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.971e-06,4.7367e-05,32,256
